facebook_profile,botUserId,language
https://www.facebook.com/Vmakeweddingsblossom/posts,163971419,Telugu
https://www.facebook.com/Ventunomakeup/posts,163971808,Telugu
https://www.facebook.com/videosforkids/posts,163970100,Telugu
https://www.facebook.com/ambraivijay/posts,163971630,Telugu
https://www.facebook.com/viralvov2/posts,163972975,Telugu
https://www.facebook.com/vizagcelebrity/posts,163971497,Telugu
https://www.facebook.com/wwe/posts,163973050,Telugu
https://www.facebook.com/WildatHeartImages/posts,163971588,Telugu
https://www.facebook.com/Wowrajamahendri/posts,163972143,Telugu
https://www.facebook.com/Yadhuphotography/posts,163971471,Telugu
https://www.facebook.com/yogaameditation/posts,163972237,Telugu
https://www.facebook.com/talesbyzoticus/posts,163971326,Telugu
https://www.facebook.com/RajivDixitOnline/posts,163969645,Hindi
https://www.facebook.com/TheJawansOfIndia/posts,163969616,Hindi
https://www.facebook.com/freeteluguastrology/posts,163972443,Telugu
https://www.facebook.com/niku.duram.aina.nenu/posts,163972093,Telugu
https://www.facebook.com/SRIMEDHADAKSHINAMURTYJYOTISHANILAYAM/posts,163972317,Telugu
https://www.facebook.com/satyadevineni/posts,163971446,Telugu
https://www.facebook.com/4pmnews/posts/,133850711,Malayalam
https://www.facebook.com/927bigfmodisha/posts/,133850735,Odia
https://www.facebook.com/itsyourboyakay/posts/,133850772,Hindi
https://www.facebook.com/GayatriPariwaar/posts/,133838051,Hindi
https://www.facebook.com/AakashChopraOfficial/posts/,133838128,Hindi
https://www.facebook.com/AkashDasnayakOfficial/posts/,133851713,Odia
https://www.facebook.com/itsAlfaaz/posts/,133851739,Hindi
https://www.facebook.com/AVPJokes/posts/,133851776,Hindi
https://www.facebook.com/AmaraMuzik/posts/,133851819,Odia
https://www.facebook.com/MataAmritanandamayi/posts/,133837905,Hindi
https://www.facebook.com/andhrapradeshemploymentexchanges/posts/,133851862,Telugu
https://www.facebook.com/andhrapradeshgovernmentjobsinformation/posts/,133851891,Telugu
https://www.facebook.com/andhrapradeshtourism/posts/,133851925,Telugu
https://www.facebook.com/music.ankit/posts/,133851974,Hindi
https://www.facebook.com/honeyanubhav/posts/,133852012,Odia
https://www.facebook.com/Anubhavmohantytrendsetterofollywood/posts/,133852040,Odia
https://www.facebook.com/odiaactressarchita/posts/,133852076,Odia
https://www.facebook.com/ActorArindam/posts/,133852102,Odia
https://www.facebook.com/thearindam.co/posts/,133852132,Odia
https://www.facebook.com/fanclubodisha121/posts/,133852151,Odia
https://www.facebook.com/automobilemag/posts/,133852172,Telugu
https://www.facebook.com/automobilecommunity1/posts/,133852205,Telugu
https://www.facebook.com/TheBig14News/posts/,133852224,Malayalam
https://www.facebook.com/bjdcampaign/posts/,133852251,Odia
https://www.facebook.com/OfficialBabbalRai/posts/,133852290,Hindi
https://www.facebook.com/kudichaKALLUwaste/posts/,133852338,Malayalam
https://www.facebook.com/BeingOdiaVentures/posts/,133852373,Odia
https://www.facebook.com/akuratibhaskarchandra/posts/,133852401,Telugu
https://www.facebook.com/me.bhubaneswar/posts/,133852427,Odia
https://www.facebook.com/Bhubaneswarsmartcityodisha/posts/,133852477,Odia
https://www.facebook.com/BignewsKerala/posts/,133852519,Malayalam
https://www.facebook.com/TeamBijuJanataDal/posts/,133852544,Odia
https://www.facebook.com/bilalsaeedmusic/posts/,133852566,Hindi
https://www.facebook.com/braveindianews/posts/,133852596,Malayalam
https://www.facebook.com/brilliancecollege/posts/,133852615,Malayalam
https://www.facebook.com/CMO.Odisha/posts/,133852649,Odia
https://www.facebook.com/CUTTACK777/posts/,133852682,Odia
https://www.facebook.com/Chaloodisha/posts/,133852706,Odia
https://www.facebook.com/ChirkutBaba/posts/,133852726,Hindi
https://www.facebook.com/cinecritics/posts/,133852757,Odia
https://www.facebook.com/cinekerala/posts/,133852797,Malayalam
https://www.facebook.com/cinemakottakaofficial/posts/,133852825,Malayalam
https://www.facebook.com/cinemalokammedia/posts/,133852871,Malayalam
https://www.facebook.com/cinemamalayalam2019/posts/,133852899,Malayalam
https://www.facebook.com/CinemaParadisoMovie/posts/,133852923,Malayalam
https://www.facebook.com/realcinemapranthan/posts/,133852956,Malayalam
https://www.facebook.com/ColorsOdiaTV/posts/,133852979,Odia
https://www.facebook.com/ComedyTonic/posts/,133853011,Telugu
https://www.facebook.com/ConfusedAatmaOfficial/posts/,133853045,Hindi
https://www.facebook.com/congresskerala1/posts/,133853066,Malayalam
https://www.facebook.com/cuttackpulse/posts/,133853086,Odia
https://www.facebook.com/DJCHETAS.OFFICIAL/posts/,133853118,Hindi
https://www.facebook.com/dyfikeralastatecommittee/posts/,133853144,Malayalam
https://www.facebook.com/DALMARestaurant/posts/,133853170,Odia
https://www.facebook.com/DekhBhaiOdia/posts/,133853201,Odia
https://www.facebook.com/TheFunnyIndianPage/posts/,133853228,Hindi
https://www.facebook.com/DharitriNews/posts/,133853269,Odia
https://www.facebook.com/DiscoverBrahmapur/posts/,133853300,Odia
https://www.facebook.com/DiscoverOdisha/posts/,133853335,Odia
https://www.facebook.com/doolnews/posts/,133853363,Malayalam
https://www.facebook.com/EnewsOdia/posts/,133853395,Odia
https://www.facebook.com/healthpagetelugu/posts/,133853422,Telugu
https://www.facebook.com/Eenadupratibhanet/posts/,133853451,Telugu
https://www.facebook.com/theindianviner/posts/,133853470,Hindi
https://www.facebook.com/entekottayamlive/posts/,133853496,Malayalam
https://www.facebook.com/Eranholimoosaofficial/posts/,133853524,Malayalam
https://www.facebook.com/EvergreenSongsMal/posts/,133853543,Malayalam
https://www.facebook.com/ExpressKerala/posts/,133853566,Malayalam
https://www.facebook.com/fazilpuria001/posts/,133853593,Hindi
https://www.facebook.com/Loversadda.arunkumar/posts/,133853615,Telugu
https://www.facebook.com/filmfaktory/posts/,133853640,Malayalam
https://www.facebook.com/fokatkagyanofficial/posts/,133853659,Hindi
https://www.facebook.com/FoodJunctionByGenmice/posts/,133853681,Telugu
https://www.facebook.com/FoodiesInBBSR/posts/,133853699,Odia
https://www.facebook.com/fullodisha/posts/,133853738,Odia
https://www.facebook.com/girlishquotes/posts/,133837682,Hindi
https://www.facebook.com/GreatOdisha/posts/,133853768,Odia
https://www.facebook.com/GreenMangoMore/posts/,133853811,Hindi
https://www.facebook.com/TrsHarish/posts/,133853841,Telugu
https://www.facebook.com/harshbeniwalofficial/posts/,133853863,Hindi
https://www.facebook.com/HealthandFitnessTipsnetwork/posts/,133853891,Telugu
https://www.facebook.com/HealthNews.TeluguNews/posts/,133853915,Telugu
https://www.facebook.com/KeralaPreview/posts/,133853935,Malayalam
https://www.facebook.com/HelloBamOfficial/posts/,133853958,Odia
https://www.facebook.com/hivisiononline/posts/,133853973,Malayalam
https://www.facebook.com/HomesAndhraPradesh/posts/,133854002,Telugu
https://www.facebook.com/KhantiOdiaHotel/posts/,133854033,Odia
https://www.facebook.com/Humansagaroffcial/posts/,133854054,Odia
https://www.facebook.com/1loveodisha/posts/,133854081,Odia
https://www.facebook.com/ilovewestgodavari/posts/,133854100,Telugu
https://www.facebook.com/OdishaDarshan/posts/,133854124,Odia
https://www.facebook.com/IndiaKala1/posts/,133854150,Telugu
https://www.facebook.com/GeetGandhar/posts/,133854167,Telugu
https://www.facebook.com/INCOdisha/posts/,133854203,Odia
https://www.facebook.com/InvestOdisha/posts/,133854249,Odia
https://www.facebook.com/jstarofficialpage/posts/,133854284,Hindi
https://www.facebook.com/puricart/posts/,133854317,Odia
https://www.facebook.com/JayJayShriJagannath/posts/,133854345,Odia
https://www.facebook.com/jazdhamiofficial/posts/,133854380,Hindi
https://www.facebook.com/Guttajwala1/posts/,133838094,Hindi
https://www.facebook.com/keralablasters/posts/,133854397,Malayalam
https://www.facebook.com/KoutukiaHasaKatha/posts/,133854416,Odia
https://www.facebook.com/knewsodisha/posts/,133854456,Odia
https://www.facebook.com/poraali.kaavi/posts/,133854488,Malayalam
https://www.facebook.com/KavithaKalvakuntla/posts/,133854517,Telugu
https://www.facebook.com/KTRTRS/posts/,133854548,Telugu
https://www.facebook.com/KannurVarthakalonline/posts/,133854574,Malayalam
https://www.facebook.com/keralaayurvedaltd/posts/,133854603,Malayalam
https://www.facebook.com/keralaonlinenews/posts/,133854624,Malayalam
https://www.facebook.com/keralapsctrollsS/posts/,133854672,Malayalam
https://www.facebook.com/khabarodiaofficial/posts/,133854697,Odia
https://www.facebook.com/khabaraodisha/posts/,133854712,Odia
https://www.facebook.com/khantibalasoria/posts/,133854735,Odia
https://www.facebook.com/officialkhantiberhampuriya/posts/,133854760,Odia
https://www.facebook.com/KhantiBhadrakiaa/posts/,133854793,Odia
https://www.facebook.com/UnofficialBhubaneswar/posts/,133854816,Odia
https://www.facebook.com/khantijajpuriya/posts/,133854839,Odia
https://www.facebook.com/khantiKataki/posts/,133854865,Odia
https://www.facebook.com/khantikeonjharia1/posts/,133854897,Odia
https://www.facebook.com/KhantiKoraputia/posts/,133854926,Odia
https://www.facebook.com/khantipuriya/posts/,133854957,Odia
https://www.facebook.com/KhantiRourkelia/posts/,133854980,Odia
https://www.facebook.com/khantisambalpuri/posts/,133855009,Odia
https://www.facebook.com/KidsArtnCrafts/posts/,133855037,Telugu
https://www.facebook.com/koraputExplorer/posts/,133855053,Odia
https://www.facebook.com/KrishnaBeuraaOfficial/posts/,133855086,Odia
https://www.facebook.com/kriyativesouls/posts/,133855114,Telugu
https://www.facebook.com/kvarthanews/posts/,133855143,Malayalam
https://www.facebook.com/laadakwaii/posts/,133855159,Odia
https://www.facebook.com/laughterhelpline/posts/,133855185,Hindi
https://www.facebook.com/Ollywooderrosnow/posts/,133855208,Odia
https://www.facebook.com/LordLingaraj/posts/,133855231,Odia
https://www.facebook.com/LovelyTelugu/posts/,133855249,Telugu
https://www.facebook.com/MBCOdisha/posts/,133855274,Odia
https://www.facebook.com/MJ555555/posts/,133855301,Hindi
https://www.facebook.com/MYBhubaneswar/posts/,133855333,Odia
https://www.facebook.com/madhubhaskaranofficial/posts/,133855359,Malayalam
https://www.facebook.com/MalanaduNews/posts/,133855389,Malayalam
https://www.facebook.com/MalappuramLifestyle/posts/,133855417,Malayalam
https://www.facebook.com/malappuramnews.mpm/posts/,133855437,Malayalam
https://www.facebook.com/mbnewsindia/posts/,133855455,Malayalam
https://www.facebook.com/malayalammovieclub123/posts/,133855479,Malayalam
https://www.facebook.com/malayalammoviegallery2018/posts/,133855510,Malayalam
https://www.facebook.com/MalayoraShabdam/posts/,133855531,Malayalam
https://www.facebook.com/manjappadaKBFCfans/posts/,133855561,Malayalam
https://www.facebook.com/MillindGabaofficial/posts/,133855598,Hindi
https://www.facebook.com/Moodishaa/posts/,133855633,Odia
https://www.facebook.com/muodia/posts/,133855664,Odia
https://www.facebook.com/muluguastrology/posts/,133855691,Telugu
https://www.facebook.com/mylkeralaofficial/posts/,133855724,Malayalam
https://www.facebook.com/NabakalebaraOfficial/posts/,133855746,Odia
https://www.facebook.com/NamitaAgrawalOfficial/posts/,133855787,Odia
https://www.facebook.com/NavaTelanganaJobs/posts/,133855808,Telugu
https://www.facebook.com/OurNaveenOdisha/posts/,133855842,Odia
https://www.facebook.com/Naveen.odisha/posts/,133855872,Odia
https://www.facebook.com/naxatranews.official/posts/,133855893,Odia
https://www.facebook.com/newsmanodia/posts/,133855920,Odia
https://www.facebook.com/Newsworldodisha/posts/,133855944,Odia
https://www.facebook.com/newsmomentslive/posts/,133855970,Malayalam
https://www.facebook.com/News18Odia/posts/,133855989,Odia
https://www.facebook.com/news60malayalam/posts/,133856018,Malayalam
https://www.facebook.com/chichorapan/posts/,133856048,Hindi
https://www.facebook.com/ODIAJATRALOVER/posts/,133856083,Odia
https://www.facebook.com/OdiyaNitiBani/posts/,133856105,Odia
https://www.facebook.com/otvnews/posts/,133856140,Odia
https://www.facebook.com/odiaenews/posts/,133856166,Odia
https://www.facebook.com/OdiaActors/posts/,133856193,Odia
https://www.facebook.com/OdiaAnabana/posts/,133856224,Odia
https://www.facebook.com/odiabhaktisagar/posts/,133856243,Odia
https://www.facebook.com/odiacartoon/posts/,133856268,Odia
https://www.facebook.com/SpunkyBoys/posts/,133856300,Odia
https://www.facebook.com/odiaetc/posts/,133856324,Odia
https://www.facebook.com/odiafoodandrecipe/posts/,133837573,Odia
https://www.facebook.com/odiafoodies/posts/,133856350,Odia
https://www.facebook.com/OdishaFoodie/posts/,133856380,Odia
https://www.facebook.com/odiafunnyexpress/posts/,133856413,Odia
https://www.facebook.com/odiakabita10/posts/,133856430,Odia
https://www.facebook.com/OdiaKhana/posts/,133856455,Odia
https://www.facebook.com/Ollywood.amrut/posts/,133856478,Odia
https://www.facebook.com/odiaNewsOfficial/posts/,133856498,Odia
https://www.facebook.com/odiaentertainmentofficial/posts/,133856524,Odia
https://www.facebook.com/OdiaRecipes/posts/,133856558,Odia
https://www.facebook.com/recipesodia/posts/,133856607,Odia
https://www.facebook.com/odiascrapss/posts/,133856641,Odia
https://www.facebook.com/OdiaShayari/posts/,133856658,Odia
https://www.facebook.com/Tansodialyrics/posts/,133856689,Odia
https://www.facebook.com/SpotNewsOdia/posts/,133856711,Odia
https://www.facebook.com/odiatroll/posts/,133856790,Odia
https://www.facebook.com/OdiaDunia/posts/,133856808,Odia
https://www.facebook.com/Odiahdmsc/posts/,133856831,Odia
https://www.facebook.com/odianewsoff/posts/,133856858,Odia
https://www.facebook.com/odiapk/posts/,133856884,Odia
https://www.facebook.com/odiapostofficial/posts/,133856911,Odia
https://www.facebook.com/OdiaTellyWorld/posts/,133856937,Odia
https://www.facebook.com/OdishaBhaskar/posts/,133856951,Odia
https://www.facebook.com/odishacultureteam/posts/,133856977,Odia
https://www.facebook.com/odishaglobal/posts/,133857016,Odia
https://www.facebook.com/OdishaJatraDarshakPariwar/posts/,133857040,Odia
https://www.facebook.com/OdishaTourismOfficial/posts/,133857063,Odia
https://www.facebook.com/ollywoodboxofficeofficial/posts/,133857086,Odia
https://www.facebook.com/Ollywoodupdateodisha/posts/,133857121,Odia
https://www.facebook.com/opennewser/posts/,133857152,Malayalam
https://www.facebook.com/authenticoriyafood/posts/,133857184,Odia
https://www.facebook.com/anoutspoken/posts/,133857201,Malayalam
https://www.facebook.com/pscTrolls/posts/,133857231,Malayalam
https://www.facebook.com/ptanewsofficial/posts/,133857267,Malayalam
https://www.facebook.com/PalakkadNewspaper/posts/,133857294,Malayalam
https://www.facebook.com/ParmishVerma/posts/,133857319,Hindi
https://www.facebook.com/mediapta/posts/,133857347,Malayalam
https://www.facebook.com/PawanKalyan/posts/,133857382,Telugu
https://www.facebook.com/prakrutiofficial/posts/,133857405,Odia
https://www.facebook.com/pratilipimalayalam/posts/,133857429,Malayalam
https://www.facebook.com/rjnaved/posts/,133857450,Hindi
https://www.facebook.com/RVCJHindi/posts/,133857477,Hindi
https://www.facebook.com/RVCJSports/posts/,133857509,Telugu
https://www.facebook.com/realnewskeralaofficial/posts/,133857530,Malayalam
https://www.facebook.com/reshamsinghanmolmusic/posts/,133857550,Hindi
https://www.facebook.com/revanthofficial/posts/,133857578,Telugu
https://www.facebook.com/OfficialRituraj/posts/,133857594,Odia
https://www.facebook.com/rourkela360/posts/,133857638,Odia
https://www.facebook.com/saLe.DoSt.kO.tHaNKs.bOlTa.HaI/posts/,133857670,Hindi
https://www.facebook.com/sabarinews/posts/,133857691,Malayalam
https://www.facebook.com/Sabarimala.News/posts/,133857722,Malayalam
https://www.facebook.com/sabyaactor/posts/,133857749,Odia
https://www.facebook.com/srisaibaba/posts/,133838004,Hindi
https://www.facebook.com/ShirdiSaiBhakti/posts/,133857779,Odia
https://www.facebook.com/iamsajeev/posts/,133857803,Malayalam
https://www.facebook.com/comrade.in.communist/posts/,133857837,Malayalam
https://www.facebook.com/SaleemKodathoorOfficial/posts/,133857860,Malayalam
https://www.facebook.com/samareshroutray/posts/,133857876,Odia
https://www.facebook.com/samayammalayalam/posts/,133857892,Malayalam
https://www.facebook.com/samayam.telugu/posts/,133857913,Telugu
https://www.facebook.com/samskrithynews/posts/,133857934,Malayalam
https://www.facebook.com/sandesh21jhingan/posts/,133857954,Malayalam
https://www.facebook.com/SanchariOnline/posts/,133857983,Malayalam
